token, distance,,token, distance
plate,-0.088261060,,one,1.000000000
acid,-0.084842180,,would,0.746483550
negative,-0.083785280,,said,0.555090210
solution,-0.081851140,,mr,0.549197870
sa,-0.077249130,,man,0.513965790
zinc,-0.072237280,,upon,0.465994310
ink,-0.069838420,,time,0.459872590
alcohol,-0.069289780,,could,0.442970340
oil,-0.068560350,,may,0.413164200
film,-0.068522020,,great,0.375979130
camera,-0.068387040,,god,0.366027780
etching,-0.067526760,,first,0.360766350
proposition,-0.066403280,,us,0.344948480
copper,-0.065375350,,two,0.335808090
predicate,-0.065099140,,well,0.330217850
ounce,-0.065046080,,life,0.329032940
printing,-0.064963410,,see,0.327660080
premise,-0.064581550,,must,0.317612710
induction,-0.063684640,,made,0.314911580
syllogism,-0.063319990,,like,0.312823900
oswald,-0.063287060,,much,0.297055930
varnish,-0.063221610,,even,0.295478710
photographic,-0.063195110,,men,0.290719510
verb,-0.063139810,,good,0.288656400
lens,-0.063129550,,without,0.277373570
turpentine,-0.063054990,,little,0.274816860
ni,-0.062952060,,day,0.265799640
photography,-0.062559340,,know,0.260201600
coating,-0.061956930,,every,0.248163290
photo,-0.061880960,,never,0.245816790
ka,-0.061727720,,many,0.230599040
exposure,-0.061664610,,might,0.229712100
collodion,-0.061654440,,old,0.215804900
ug,-0.061546530,,say,0.207969010
dissolve,-0.061269580,,way,0.202463550
gum,-0.061127890,,long,0.197439700
ce,-0.061081270,,yet,0.197298600
potassium,-0.060866290,,still,0.194830610
chloride,-0.060781480,,people,0.192417030
nitrate,-0.060629940,,world,0.191815750
soap,-0.060510820,,new,0.191536970
glue,-0.060454610,,de,0.191149420
soda,-0.060435100,,come,0.188168570
glycerine,-0.060366660,,though,0.188133800
node,-0.060190750,,also,0.182929220
affirmative,-0.060184780,,make,0.181358150
drying,-0.060047230,,shall,0.179929090
ammonia,-0.059988180,,found,0.172222520
bath,-0.059947790,,think,0.169215620
liquid,-0.059719960,,last,0.166072780
powdered,-0.059620150,,place,0.164425050
transfer,-0.059617750,,nothing,0.159673270
metal,-0.059585550,,came,0.156641500
sodium,-0.059448200,,mind,0.153585100
nitric,-0.059398180,,work,0.152547730
radium,-0.059395460,,go,0.152102990
genitive,-0.059359540,,part,0.152066590
roller,-0.059244800,,church,0.149883410
vowel,-0.059194470,,thought,0.147165490
potash,-0.059191620,,another,0.146685940
coated,-0.059137050,,nature,0.141944070
dry,-0.059090170,,right,0.139904300
paste,-0.059048370,,far,0.137182500
tin,-0.058998370,,take,0.135882870
nominative,-0.058804310,,among,0.134844660
mix,-0.058768310,,three,0.134833660
rubber,-0.058679190,,power,0.132817140
filter,-0.058657200,,whole,0.132580890
causation,-0.058532050,,love,0.129473450
developer,-0.058412580,,name,0.129391540
distilled,-0.058409180,,general,0.129297610
bichromate,-0.058357420,,hand,0.127121530
collotype,-0.058279440,,ever,0.126422160
na,-0.058174120,,back,0.126334760
aluminum,-0.058139600,,however,0.123939680
fig,-0.058039560,,father,0.119245360
glass,-0.058024060,,thus,0.118354340
burr,-0.057982950,,death,0.117714090
alum,-0.057972820,,young,0.115925810
sulphate,-0.057915090,,always,0.115797310
sulphuric,-0.057908110,,give,0.115613400
carbonate,-0.057865340,,went,0.115373330
mixture,-0.057863440,,return,0.114708930
hypothetical,-0.057860500,,left,0.113663090
kirk,-0.057801050,,away,0.113239620
inference,-0.057722680,,state,0.113062570
ether,-0.057707120,,less,0.107726710
albumen,-0.057693990,,law,0.107116760
rosin,-0.057693850,,order,0.106715000
fallacy,-0.057686450,,lord,0.104440700
infinitive,-0.057542180,,house,0.104184900
borax,-0.057519370,,let,0.103062850
partitive,-0.057474750,,human,0.102447980
accusative,-0.057459790,,find,0.101758950
powder,-0.057430640,,cannot,0.099095730
asphalt,-0.057414030,,heart,0.098687400
print,-0.057356760,,whose,0.097500300
shellac,-0.057322790,,mrs,0.096917890
carbon,-0.057322370,,present,0.095977990
cement,-0.057318530,,head,0.095032000
